Date,Air_quality_Code, pm25, pm10, no2, so2
5/4/2018,9,137,74,4,1
5/5/2018,9,97,58,17,2
5/6/2018,9,98,55,13,1
5/7/2018,9,89,45,13,2
5/8/2018,9,66,37,13,1
5/9/2018,9,58,56,27,2
5/10/2018,9,87,39,7,1
5/11/2018,9,78,36,4,1
5/12/2018,9,67,31,15,1
5/13/2018,9,60,29,16,1
5/14/2018,9,63,25,16,2
5/15/2018,9,68,29,11,2
5/16/2018,9,63,43,26,2
5/17/2018,9,89,47,26,2
5/18/2018,9,74,42,12,2
5/19/2018,9,78,28,6,2
5/20/2018,9,75,36,20,2
5/21/2018,9,85,70,52,3
5/22/2018,9,110,55,18,2
5/23/2018,9,84,52,16,1
5/24/2018,9,93,55,17,2
5/25/2018,9,91,40,3,1
5/26/2018,9,74,35,9,1
5/27/2018,9,76,33,8,1
5/28/2018,9,69,26,8,1
5/29/2018,9,70,33,10,1
5/30/2018,9,69,41,12,1
5/31/2018,9,82,43,10,1
6/1/2018,9,89,33,4,1
6/2/2018,9,75,43,11,1
6/3/2018,9,93,63,11,1
6/4/2018,9,140,53,14,1
6/5/2018,9,104,37,14,1
6/6/2018,9,68,42,9,1
6/7/2018,9,79,35,8,1
6/8/2018,9,77,45,5,1
6/9/2018,9,86,55,12,1
6/10/2018,9,94,38,12,1
6/11/2018,9,64,33,10,1
6/12/2018,9,58,34,13,1
6/13/2018,9,74,35,13,1
6/14/2018,9,69,32,12,2
6/15/2018,9,68,42,14,1
6/16/2018,9,79,31,7,1
6/17/2018,9,53,26,11,1
6/18/2018,9,52,25,12,1
6/19/2018,9,58,25,11,1
6/20/2018,9,48,24,11,1
6/21/2018,9,51,24,12,2
6/22/2018,9,53,21,5,1
6/23/2018,9,58,34,12,1
6/24/2018,9,59,30,9,1
6/25/2018,9,61,36,13,1
6/26/2018,9,72,35,16,2
6/27/2018,9,69,31,12,1
6/28/2018,9,62,25,5,1
6/29/2018,9,62,19,3,1
6/30/2018,9,83,26,10,1
7/1/2018,9,62,24,11,1
7/2/2018,9,51,20,10,1
7/3/2018,9,51,25,14,1
7/4/2018,9,65,41,13,1
7/5/2018,9,74,46,7,1
7/6/2018,9,79,40,4,1
7/7/2018,9,74,38,15,1
7/8/2018,9,75,38,14,1
7/9/2018,9,71,40,13,1
7/10/2018,9,64,36,9,1
7/11/2018,9,57,24,13,1
7/12/2018,9,48,35,9,1
7/13/2018,9,72,45,4,1
7/14/2018,9,77,62,11,1
7/15/2018,9,83,47,16,1
7/16/2018,9,84,38,11,1
7/17/2018,9,71,34,12,1
7/18/2018,9,72,42,13,1
7/19/2018,9,75,33,7,1
7/20/2018,9,57,24,3,1
7/21/2018,9,49,34,10,1
7/22/2018,9,73,39,13,1
7/23/2018,9,73,43,21,1
7/24/2018,9,75,63,24,2
7/25/2018,9,96,28,12,1
7/26/2018,9,47,24,8,1
7/27/2018,9,54,23,5,1
7/28/2018,9,53,27,10,1
7/29/2018,9,59,23,12,1
7/30/2018,9,55,24,11,1
7/31/2018,9,66,24,13,1
8/1/2018,9,59,30,12,1
8/2/2018,9,76,39,7,1
8/3/2018,9,76,40,4,1
8/4/2018,9,77,37,9,1
8/5/2018,9,67,34,10,1
8/6/2018,9,67,34,12,1
8/7/2018,9,72,35,10,1
8/8/2018,9,70,36,10,1
8/9/2018,9,66,32,7,1
8/10/2018,9,67,28,4,1
8/11/2018,9,65,34,13,1
8/12/2018,9,68,34,11,1
8/13/2018,9,56,36,13,3
8/14/2018,9,65,39,12,1
8/15/2018,9,66,35,15,1
8/16/2018,9,66,34,9,1
8/17/2018,9,68,27,6,1
8/18/2018,9,61,34,11,1
8/19/2018,9,65,36,12,1
8/20/2018,9,65,33,12,1
8/21/2018,9,71,36,10,1
8/22/2018,9,68,38,10,1
8/23/2018,9,66,34,9,1
8/24/2018,9,64,29,4,1
8/25/2018,9,59,27,9,1
8/26/2018,9,53,21,9,1
8/27/2018,9,50,26,11,1
8/28/2018,9,66,26,11,1
8/29/2018,9,71,17,9,1
8/30/2018,9,60,17,5,1
8/31/2018,9,57,19,5,1
9/1/2018,9,49,23,7,1
9/2/2018,9,56,49,12,1
9/3/2018,9,73,60,12,1
9/4/2018,9,77,39,12,1
9/5/2018,9,65,54,10,1
9/6/2018,9,65,27,12,1
9/7/2018,9,59,19,6,1
9/8/2018,9,47,25,11,1
9/9/2018,9,56,25,5,1
9/10/2018,9,73,27,8,1
9/11/2018,9,69,29,15,1
9/12/2018,9,67,25,14,1
9/13/2018,9,62,22,9,1
9/14/2018,9,55,18,6,1
9/15/2018,9,58,30,16,1
9/16/2018,9,73,31,14,1
9/17/2018,9,70,31,10,1
9/18/2018,9,68,23,3,1
9/19/2018,9,63,32,15,1
9/20/2018,9,62,33,13,1
9/21/2018,9,67,30,8,1
9/22/2018,9,68,32,11,1
9/23/2018,9,62,30,8,1
9/24/2018,9,75,36,19,1
9/25/2018,9,78,37,16,1
9/26/2018,9,73,32,18,1
9/27/2018,9,74,39,15,1
9/28/2018,9,85,29,10,1
9/29/2018,9,70,38,13,1
9/30/2018,9,74,26,5,1
10/1/2018,9,54,28,12,1
10/2/2018,9,54,27,13,1
10/3/2018,9,57,19,11,1
10/4/2018,9,44,28,12,1
10/5/2018,9,63,29,7,1
10/6/2018,9,70,34,20,1
10/7/2018,9,64,40,20,1
10/8/2018,9,75,32,15,1
10/9/2018,9,69,29,13,1
10/10/2018,9,65,36,20,1
10/11/2018,9,69,26,14,1
10/12/2018,9,62,28,9,1
10/13/2018,9,63,44,22,1
10/14/2018,9,71,39,19,1
10/15/2018,9,63,42,21,1
10/16/2018,9,63, ,18,2
10/17/2018,9,69, ,13,1
10/18/2018,9,93, ,9,1
10/19/2018,9,121, ,11,1
10/20/2018,9,85, ,20,1
