date, pm25, pm10, no2, so2,Air_quality_Code
8/21/2018,71,36,10,1,9
8/22/2018,68,38,10,1,9
8/23/2018,66,34,9,1,9
8/24/2018,64,29,4,1,9
8/25/2018,59,27,9,1,9
8/26/2018,53,21,9,1,9
8/27/2018,50,26,11,1,9
8/28/2018,66,26,11,1,9
8/29/2018,71,17,9,1,9
8/30/2018,60,17,5,1,9
8/31/2018,57,19,5,1,9
9/1/2018,49,23,7,1,9
9/2/2018,56,49,12,1,9
9/3/2018,73,60,12,1,9
9/4/2018,77,39,12,1,9
9/5/2018,65,54,10,1,9
9/6/2018,65,27,12,1,9
9/7/2018,59,19,6,1,9
9/8/2018,47,25,11,1,9
9/9/2018,56,25,5,1,9
9/10/2018,73,27,8,1,9
9/11/2018,69,29,15,1,9
9/12/2018,67,25,14,1,9
9/13/2018,62,22,9,1,9
9/14/2018,55,18,6,1,9
9/15/2018,58,30,16,1,9
9/16/2018,73,31,14,1,9
9/17/2018,70,31,10,1,9
9/18/2018,68,23,3,1,9
9/19/2018,63,32,15,1,9
9/20/2018,62,33,13,1,9
9/21/2018,67,30,8,1,9
9/22/2018,68,32,11,1,9
9/23/2018,62,30,8,1,9
9/24/2018,75,36,19,1,9
9/25/2018,78,37,16,1,9
9/26/2018,73,32,18,1,9
9/27/2018,74,39,15,1,9
9/28/2018,85,29,10,1,9
9/29/2018,70,38,13,1,9
9/30/2018,74,26,5,1,9
10/1/2018,54,28,12,1,9
10/2/2018,54,27,13,1,9
10/3/2018,57,19,11,1,9
10/4/2018,44,28,12,1,9
10/5/2018,63,29,7,1,9
10/6/2018,70,34,20,1,9
10/7/2018,64,40,20,1,9
10/8/2018,75,32,15,1,9
10/9/2018,69,29,13,1,9
10/10/2018,65,36,20,1,9
10/11/2018,69,26,14,1,9
10/12/2018,62,28,9,1,9
10/13/2018,63,44,22,1,9
10/14/2018,71,39,19,1,9
10/15/2018,63,42,21,1,9
10/16/2018,63, ,18,2,9
10/17/2018,69, ,13,1,9
10/18/2018,93, ,9,1,9
10/19/2018,121, ,11,1,9
10/20/2018,85, ,20,1,9
10/21/2018,83, ,35,2,9
10/22/2018,104, ,33,2,9
10/23/2018,97, ,33,2,9
10/24/2018,104,93,23,2,9
10/25/2018,103,36,6,1,9
10/26/2018,49,21,11,2,9
10/27/2018,46,38,28,2,9
10/28/2018,54,63,27,2,9
10/29/2018,82,81,27,2,9
10/30/2018,105,59,34,2,9
10/31/2018,81,53,34,3,9
11/1/2018,74,39,26,3,9
11/2/2018,69,38,16,3,9
11/3/2018,77,54,33,3,9
11/4/2018,78,29,26,1,9
11/5/2018,65,33,25,1,9
11/6/2018,71,41,26,1,9
11/7/2018,85,48,30,2,9
11/8/2018,94,55,28,2,9
11/9/2018,107,33,31,1,9
11/10/2018,70,40,31,1,9
11/11/2018,73,39,25,1,9
11/12/2018,81,42,30,2,9
11/13/2018,85,41,27,2,9
11/14/2018,86,40,28,1,9
11/15/2018,75,29,16,1,9
11/16/2018,66,31,15,1,9
11/17/2018,70,53,32,2,9
11/18/2018,97,59,34,2,9
11/19/2018,97,53,29,2,9
11/20/2018,110,52,29,2,9
11/21/2018,104,55,30,2,9
11/22/2018,100,19,16,1,9
11/23/2018,43,23,14,1,9
11/24/2018,57,39,25,2,9
11/25/2018,71,35,25,1,9
11/26/2018,69,55,36,2,9
11/27/2018,104,52,39,2,9
11/28/2018,90,58,36,2,9
11/29/2018,98,58,20,1,9
11/30/2018,104,37,11,1,9
12/1/2018,62,43,32,1,9
12/2/2018,68,58,38,2,9
12/3/2018,87,41,25,1,9
12/4/2018,69,47,16,1,9
12/5/2018,54,21,18,1,9
12/6/2018,45,31,6,1,9
12/7/2018,49,24,13,1,9
12/8/2018,58,45,28,1,9
12/9/2018,79,43,25,1,9
12/10/2018,72,43,19,1,9
12/11/2018,60,46,14,1,9
12/12/2018,59,29,14,1,9
12/13/2018,44,27,18,1,9
12/14/2018,61,42,15,1,9
12/15/2018,69,67,31,1,9
12/16/2018,105,66,21,1,9
12/17/2018,97,43,22,1,9
12/18/2018,72,48,21,1,9
12/19/2018,70,30,15,1,9
12/20/2018,49,29,16,1,9
12/21/2018,66,25,18,2,9
12/22/2018,67,36,26,2,9
12/23/2018,80,38,24,1,9
12/24/2018,77,48,30,1,9
12/25/2018,89,44,25,1,9
12/26/2018,85,28,11,1,9
12/27/2018,51,28,11,1,9
