Date,Temp_location_code,Temp_c
31/03/2018,1381,18.7
01/04/2018,1381,24
02/04/2018,1381,19.4
03/04/2018,1381,19.2
04/04/2018,1381,22.6
05/04/2018,1381,25.7
06/04/2018,1381,20.4
07/04/2018,1381,20.9
08/04/2018,1381,19.7
09/04/2018,1381,19.2
10/04/2018,1381,19
11/04/2018,1381,19.8
12/04/2018,1381,19.8
13/04/2018,1381,20.6
14/04/2018,1381,20.8
15/04/2018,1381,20.6
16/04/2018,1381,21.1
17/04/2018,1381,21.9
18/04/2018,1381,22.2
19/04/2018,1381,21.6
20/04/2018,1381,21.1
21/04/2018,1381,21.1
22/04/2018,1381,20.6
23/04/2018,1381,20.5
24/04/2018,1381,21
25/04/2018,1381,22.6
26/04/2018,1381,20.7
27/04/2018,1381,21.2
28/04/2018,1381,21.6
29/04/2018,1381,21.6
30/04/2018,1381,31.7
01/05/2018,1381,34.4
02/05/2018,1381,33.6
03/05/2018,1381,35.5
04/05/2018,1381,35.4
05/05/2018,1381,31.7
06/05/2018,1381,22.2
07/05/2018,1381,28.8
08/05/2018,1381,21.8
09/05/2018,1381,21.8
10/05/2018,1381,26.8
11/05/2018,1381,22.5
12/05/2018,1381,22.3
13/05/2018,1381,22.5
14/05/2018,1381,22
15/05/2018,1381,22.2
16/05/2018,1381,23.5
17/05/2018,1381,36
18/05/2018,1381,39.2
19/05/2018,1381,30
20/05/2018,1381,26.7
21/05/2018,1381,25.6
22/05/2018,1381,30.8
23/05/2018,1381,29
24/05/2018,1381,24.9
25/05/2018,1381,26.7
26/05/2018,1381,24.4
27/05/2018,1381,24.1
28/05/2018,1381,24.2
29/05/2018,1381,24.5
30/05/2018,1381,24.7
31/05/2018,1381,24.9
01/06/2018,1381,24.7
02/06/2018,1381,25
03/06/2018,1381,24.8
04/06/2018,1381,25.1
05/06/2018,1381,25.2
06/06/2018,1381,25.7
07/06/2018,1381,25.7
08/06/2018,1381,26.7
09/06/2018,1381,26.4
10/06/2018,1381,27.1
11/06/2018,1381,26.3
12/06/2018,1381,26.2
13/06/2018,1381,26.6
14/06/2018,1381,26.4
15/06/2018,1381,26.6
16/06/2018,1381,30.9
17/06/2018,1381,28.6
18/06/2018,1381,26.3
19/06/2018,1381,26.5
20/06/2018,1381,26.5
21/06/2018,1381,26.4
22/06/2018,1381,26.6
23/06/2018,1381,27.2
24/06/2018,1381,26.9
25/06/2018,1381,27
26/06/2018,1381,27
27/06/2018,1381,27.5
28/06/2018,1381,27.5
29/06/2018,1381,26.8
30/06/2018,1381,26.9
01/07/2018,1381,26.9
02/07/2018,1381,26.9
03/07/2018,1381,26.8
04/07/2018,1381,27.1
05/07/2018,1381,28.4
06/07/2018,1381,28.6
07/07/2018,1381,28.8
08/07/2018,1381,28
09/07/2018,1381,27.8
10/07/2018,1381,28.2
11/07/2018,1381,28.1
12/07/2018,1381,28.1
13/07/2018,1381,28.7
14/07/2018,1381,28.8
15/07/2018,1381,28.4
16/07/2018,1381,28.8
17/07/2018,1381,28.4
18/07/2018,1381,28.5
19/07/2018,1381,28.6
20/07/2018,1381,28.8
21/07/2018,1381,28.6
22/07/2018,1381,28.7
23/07/2018,1381,29.1
24/07/2018,1381,29.9
25/07/2018,1381,32.4
26/07/2018,1381,28.8
27/07/2018,1381,28.7
28/07/2018,1381,28.8
29/07/2018,1381,28.9
30/07/2018,1381,28.9
31/07/2018,1381,28.6
01/08/2018,1381,28.5
02/08/2018,1381,28.9
03/08/2018,1381,29.5
04/08/2018,1381,29.4
05/08/2018,1381,28.9
06/08/2018,1381,28.8
07/08/2018,1381,28.8
08/08/2018,1381,29.3
09/08/2018,1381,29.7
10/08/2018,1381,29.5
11/08/2018,1381,29.1
12/08/2018,1381,29.2
13/08/2018,1381,29.3
14/08/2018,1381,29
15/08/2018,1381,29.1
16/08/2018,1381,28.6
17/08/2018,1381,28.7
18/08/2018,1381,28.8
19/08/2018,1381,28.9
20/08/2018,1381,29
21/08/2018,1381,29.1
22/08/2018,1381,28.7
23/08/2018,1381,29.1
24/08/2018,1381,28.8
25/08/2018,1381,28.7
26/08/2018,1381,28.9
27/08/2018,1381,29
28/08/2018,1381,28.9
